bulbasaur, https://img.pokemondb.net/artwork/bulbasaur.jpg,1," <a class=""type-icon type-grass"" href=""/type/grass"">Grass</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Seed Pokémon, 0.7 m (2′04″), 6.9 kg (15.2 lbs)," <span class=""text-muted"">1. <a href=""/ability/overgrow"" title=""Powers up Grass-type moves in a pinch."">Overgrow</a></span><br/><small class=""text-muted""><a href=""/ability/chlorophyll"" title=""Boosts the Pokémon's Speed in sunshine."">Chlorophyll</a> (hidden ability)</small><br/>",,,10
ivysaur, https://img.pokemondb.net/artwork/ivysaur.jpg,2," <a class=""type-icon type-grass"" href=""/type/grass"">Grass</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Seed Pokémon, 1.0 m (3′03″), 13.0 kg (28.7 lbs)," <span class=""text-muted"">1. <a href=""/ability/overgrow"" title=""Powers up Grass-type moves in a pinch."">Overgrow</a></span><br/><small class=""text-muted""><a href=""/ability/chlorophyll"" title=""Boosts the Pokémon's Speed in sunshine."">Chlorophyll</a> (hidden ability)</small><br/>",,,8
venusaur, https://img.pokemondb.net/artwork/venusaur.jpg,3," <a class=""type-icon type-grass"" href=""/type/grass"">Grass</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Seed Pokémon, 2.0 m (6′07″), 100.0 kg (220.5 lbs)," <span class=""text-muted"">1. <a href=""/ability/overgrow"" title=""Powers up Grass-type moves in a pinch."">Overgrow</a></span><br/><small class=""text-muted""><a href=""/ability/chlorophyll"" title=""Boosts the Pokémon's Speed in sunshine."">Chlorophyll</a> (hidden ability)</small><br/>",,,3
charmander, https://img.pokemondb.net/artwork/charmander.jpg,4," <a class=""type-icon type-fire"" href=""/type/fire"">Fire</a> ", Lizard Pokémon, 0.6 m (2′00″), 8.5 kg (18.7 lbs)," <span class=""text-muted"">1. <a href=""/ability/blaze"" title=""Powers up Fire-type moves in a pinch."">Blaze</a></span><br/><small class=""text-muted""><a href=""/ability/solar-power"" title=""In sunshine"," Sp. Atk is boosted but HP decreases."">Solar Power</a> (hidden ability)</small><br/>",,9
charmeleon, https://img.pokemondb.net/artwork/charmeleon.jpg,5," <a class=""type-icon type-fire"" href=""/type/fire"">Fire</a> ", Flame Pokémon, 1.1 m (3′07″), 19.0 kg (41.9 lbs)," <span class=""text-muted"">1. <a href=""/ability/blaze"" title=""Powers up Fire-type moves in a pinch."">Blaze</a></span><br/><small class=""text-muted""><a href=""/ability/solar-power"" title=""In sunshine"," Sp. Atk is boosted but HP decreases."">Solar Power</a> (hidden ability)</small><br/>",,6
charizard, https://img.pokemondb.net/artwork/charizard.jpg,6," <a class=""type-icon type-fire"" href=""/type/fire"">Fire</a> <a class=""type-icon type-flying"" href=""/type/flying"">Flying</a> ", Flame Pokémon, 1.7 m (5′07″), 90.5 kg (199.5 lbs)," <span class=""text-muted"">1. <a href=""/ability/blaze"" title=""Powers up Fire-type moves in a pinch."">Blaze</a></span><br/><small class=""text-muted""><a href=""/ability/solar-power"" title=""In sunshine"," Sp. Atk is boosted but HP decreases."">Solar Power</a> (hidden ability)</small><br/>",,3
squirtle, https://img.pokemondb.net/artwork/squirtle.jpg,7," <a class=""type-icon type-water"" href=""/type/water"">Water</a> ", Tiny Turtle Pokémon, 0.5 m (1′08″), 9.0 kg (19.8 lbs)," <span class=""text-muted"">1. <a href=""/ability/torrent"" title=""Powers up Water-type moves in a pinch."">Torrent</a></span><br/><small class=""text-muted""><a href=""/ability/rain-dish"" title=""The Pokémon gradually regains HP in rain."">Rain Dish</a> (hidden ability)</small><br/>",,,10
wartortle, https://img.pokemondb.net/artwork/wartortle.jpg,8," <a class=""type-icon type-water"" href=""/type/water"">Water</a> ", Turtle Pokémon, 1.0 m (3′03″), 22.5 kg (49.6 lbs)," <span class=""text-muted"">1. <a href=""/ability/torrent"" title=""Powers up Water-type moves in a pinch."">Torrent</a></span><br/><small class=""text-muted""><a href=""/ability/rain-dish"" title=""The Pokémon gradually regains HP in rain."">Rain Dish</a> (hidden ability)</small><br/>",,,8
blastoise, https://img.pokemondb.net/artwork/blastoise.jpg,9," <a class=""type-icon type-water"" href=""/type/water"">Water</a> ", Shellfish Pokémon, 1.6 m (5′03″), 85.5 kg (188.5 lbs)," <span class=""text-muted"">1. <a href=""/ability/torrent"" title=""Powers up Water-type moves in a pinch."">Torrent</a></span><br/><small class=""text-muted""><a href=""/ability/rain-dish"" title=""The Pokémon gradually regains HP in rain."">Rain Dish</a> (hidden ability)</small><br/>",,,4
caterpie, https://img.pokemondb.net/artwork/caterpie.jpg,10," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> ", Worm Pokémon, 0.3 m (1′00″), 2.9 kg (6.4 lbs)," <span class=""text-muted"">1. <a href=""/ability/shield-dust"" title=""Blocks the added effects of attacks taken."">Shield Dust</a></span><br/><small class=""text-muted""><a href=""/ability/run-away"" title=""Enables a sure getaway from wild Pokémon."">Run Away</a> (hidden ability)</small><br/>",,,6
metapod, https://img.pokemondb.net/artwork/metapod.jpg,11," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> ", Cocoon Pokémon, 0.7 m (2′04″), 9.9 kg (21.8 lbs)," <span class=""text-muted"">1. <a href=""/ability/shed-skin"" title=""The Pokémon may heal its own status problems."">Shed Skin</a></span><br/>",,,2
butterfree, https://img.pokemondb.net/artwork/butterfree.jpg,12," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> <a class=""type-icon type-flying"" href=""/type/flying"">Flying</a> ", Butterfly Pokémon, 1.1 m (3′07″), 32.0 kg (70.5 lbs)," <span class=""text-muted"">1. <a href=""/ability/compound-eyes"" title=""The Pokémon's accuracy is boosted."">Compound Eyes</a></span><br/><small class=""text-muted""><a href=""/ability/tinted-lens"" title=""Powers up “not very effective” moves."">Tinted Lens</a> (hidden ability)</small><br/>",,,4
weedle, https://img.pokemondb.net/artwork/weedle.jpg,13," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Hairy Bug Pokémon, 0.3 m (1′00″), 3.2 kg (7.1 lbs)," <span class=""text-muted"">1. <a href=""/ability/shield-dust"" title=""Blocks the added effects of attacks taken."">Shield Dust</a></span><br/><small class=""text-muted""><a href=""/ability/run-away"" title=""Enables a sure getaway from wild Pokémon."">Run Away</a> (hidden ability)</small><br/>",,,7
kakuna, https://img.pokemondb.net/artwork/kakuna.jpg,14," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Cocoon Pokémon, 0.6 m (2′00″), 10.0 kg (22.0 lbs)," <span class=""text-muted"">1. <a href=""/ability/shed-skin"" title=""The Pokémon may heal its own status problems."">Shed Skin</a></span><br/>",,,6
beedrill, https://img.pokemondb.net/artwork/beedrill.jpg,15," <a class=""type-icon type-bug"" href=""/type/bug"">Bug</a> <a class=""type-icon type-poison"" href=""/type/poison"">Poison</a> ", Poison Bee Pokémon, 1.0 m (3′03″), 29.5 kg (65.0 lbs)," <span class=""text-muted"">1. <a href=""/ability/swarm"" title=""Powers up Bug-type moves in a pinch."">Swarm</a></span><br/><small class=""text-muted""><a href=""/ability/sniper"" title=""Powers up moves if they become critical hits."">Sniper</a> (hidden ability)</small><br/>",,,3
